identity,kind,current_authority,current_grounding,target_authority,native_sysml_candidate,upstream_candidate,api_representation_known,runtime_implementation,migration_lane,semantic_change_required,owning_exit,unresolved_questions
Assumption,class,authored YAML contract + kernel file,kernel declaration (part def IncrementAssumption),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
Gap,class,authored YAML contract + kernel file,kernel declaration (part def IncrementGap),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
MissingRealizationRecord,class,authored YAML contract + kernel file,kernel declaration (part def MissingRealizationRecord),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
BlockedRealizationBranchRecord,class,authored YAML contract + kernel file,kernel declaration (part def BlockedRealizationBranchRecord),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
AssuranceClaim,class,authored YAML contract (native grounding),native: Claim usages framed by the argumentation-assurance viewpoint,native SysML construct,yes,n/a,partial,vocabulary-only,O (native claim usages),no,O,
Viewpoint,class,authored YAML contract (native grounding),native: SysML v2 viewpoint def; kernel selections in DE4SDV_MethodVi,native SysML construct,yes,n/a,partial,vocabulary-only,O (native viewpoint def),no,O,
View,class,authored YAML contract (native grounding),native: SysML v2 view,native SysML construct,yes,n/a,partial,vocabulary-only,O (native view),no,O,
TraceLink,class,authored YAML contract + kernel file,kernel declaration (item def TraceLink),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
RequiredTraceChain,class,authored YAML contract + kernel file,kernel declaration (part def RequiredTraceChain),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
Baseline,class,authored YAML contract + kernel file,kernel declaration (part def DE4SDVEvidenceBaseline),DE4SDV kernel-library declaration + generated projection,partial,n/a,yes (kernel binding),bound via KernelBindingIndex,O (migrate contract text to model-resident/projection),no,O,
addressesConcern,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EngineeringIncrement -> Concern,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
hasStakeholder,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EngineeringIncrement -> Stakeholder,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
selectedViewpoint,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EngineeringIncrement -> Viewpoint,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
producesView,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EngineeringIncrement -> View,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
derivesNeedFromConcern,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Need -> Concern,model-resident contract + generated projection,no,n/a,no,vocabulary-only,T (same family as K predicate; second proof after K),yes,T,
derivesRequirementFromNeed,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Requirement -> Need,model-resident contract + generated projection,yes (native derivation; SysML Requirement Derivation Library locked),"SysML Requirement Derivation Library 2.0.0 (locked, not yet consumed)",no (vocabulary-only; no current mapping),vocabulary-only,K (first proof: vocabulary-only today; prove definition -> validation/export -> API read-back -> projection -> consumer),no,K,
constrainedBy,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Requirement -> RegulatoryConstraint,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only; R003 targets),no,O,
specifiesFeature,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Requirement -> Feature,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
specifiesCommonCapability,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Requirement -> CommonCapability,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
realizedBy,relationship,"authored YAML sysml_mapping (strategy=allocation, strength=allocation); runtime-implemented",Requirement -> ArchitectureElement,model-resident contract + generated projection,yes,n/a,yes,implemented (allocation),O (implemented allocation; signature frozen per plan §10),no,O,
specifiesFunction,relationship,"authored YAML sysml_mapping (strategy=dependency, strength=relevance); runtime-implemented",Requirement -> Function,model-resident contract + generated projection,yes,n/a,yes,implemented (dependency),O (implemented dependency/relevance; preserve relevance only),no,O,
hasRelevantArchitecture,relationship,"authored YAML sysml_mapping (strategy=dependency, strength=relevance); runtime-implemented",Requirement -> ArchitectureElement,model-resident contract + generated projection,yes,n/a,yes,implemented (dependency),O (implemented incoming dependency/relevance),no,O,
allocatedTo,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Function -> LogicalElement,model-resident contract + generated projection,yes (native allocation),n/a,no,vocabulary-only,T (prove native allocation ends; alternative K predicate),unresolved,T,signature/strength decision pending — plan §10
deployedTo,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),LogicalElement -> PhysicalElement,model-resident contract + generated projection,no,n/a,no,vocabulary-only,T (signature migration OR distinct predicate — plan §10),unresolved,T,signature/strength decision pending — plan §10
verifiedBy,relationship,"authored YAML sysml_mapping (strategy=verification-membership, strength=native-verification); runtime-implemented",Requirement -> VerificationCase,model-resident contract + generated projection,yes,n/a,yes,implemented (verification-membership),O (implemented native verification membership),no,O,
usesVerificationMethod,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),VerificationCase -> VerificationMethod,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only; native metadata exists),no,O,
hasAcceptanceCriterion,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),VerificationCase -> AcceptanceCriterion,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
validatedBy,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Need -> ValidationScenario,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
validatesFitnessForUse,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),ValidationScenario -> Need,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
hasEvidence,relationship,"authored YAML sysml_mapping (strategy=external, strength=external-data-required); runtime-implemented",VerificationCase -> EvidenceArtifact,model-resident contract + generated projection,yes,n/a,yes,implemented (external),T/E (external boundary; keep boundary),yes,T/E,
hasEvidenceStatus,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EvidenceArtifact -> EvidenceStatus,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (upstream VVStatus vocabulary),no,O,
recordsAssumption,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EngineeringIncrement -> Assumption,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
recordsGap,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EngineeringIncrement -> Gap,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
supportedByEvidence,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),AssuranceClaim -> EvidenceArtifact,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only; contract migrates at O4),no,O,
appliesToMemberProduct,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),FeatureConfiguration -> MemberProduct,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
hasSubject,relationship,"authored YAML sysml_mapping (strategy=subject-membership, strength=native-reference); runtime-implemented",Requirement -> MemberProduct,model-resident contract + generated projection,yes,n/a,yes,implemented (subject-membership),O (implemented subject membership; do not widen),no,O,
hasRelevantEvidenceContract,relationship,"authored YAML sysml_mapping (strategy=dependency, strength=relevance); runtime-implemented",Requirement -> EvidenceContract,model-resident contract + generated projection,yes,n/a,yes,implemented (dependency),O (implemented dependency/relevance),no,O,
selectsFeature,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),FeatureConfiguration -> Feature,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
instantiatesCanonicalArchitecture,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),MemberProduct -> ArchitectureElement,model-resident contract + generated projection,no,n/a,no,vocabulary-only,T (needs canonical-usage selector),yes,T,
includesCommonCapability,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),FeatureConfiguration -> CommonCapability,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
variesAt,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),Feature -> VariationPoint,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
selectsVariant,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),FeatureConfiguration -> Variant,PLE/PLEML model-native authority (admitted scope),no,PLEML,no,vocabulary-only,PLE (PLE-S),unresolved,PLE,signature/strength decision pending — plan §10
capturedInBaseline,relationship,authored YAML vocabulary (domain/range only; no sysml_mapping),EvidenceArtifact -> Baseline,model-resident contract + generated projection,no,n/a,no,vocabulary-only,O (vocabulary-only),no,O,
